Start_Station_Code,Rush_Period,Total_Rides,Avg_Rides_Per_Day,Total_Days
A32000,AM,10,1.4285714285714286,5
A32000,PM,53,1.7096774193548387,12
A32001,AM,71,2.21875,14
A32001,PM,55,1.71875,16
A32002,AM,113,2.825,14
A32002,PM,66,2.75,10
A32003,AM,69,1.6428571428571428,12
A32003,PM,75,1.7857142857142858,13
A32004,AM,42,2,14
A32004,PM,149,2.328125,18
A32005,AM,39,2.6,9
A32005,PM,46,2,13
A32006,AM,51,2.217391304347826,13
A32006,PM,46,2.090909090909091,10
A32008,AM,98,3.2666666666666666,6
A32008,PM,63,3.9375,9
A32009,AM,234,2.207547169811321,22
A32009,PM,148,2.4262295081967213,19
A32010,AM,668,3.121495327102804,18
A32010,PM,392,2.7222222222222223,19
A32011,AM,23,2.3,6
A32011,PM,31,2.2142857142857144,11
A32012,AM,86,2.0476190476190474,17
A32012,PM,140,2.5925925925925926,16
A32013,AM,90,3.6,7
A32013,PM,86,4.3,7
A32017,AM,72,5.538461538461538,6
A32017,PM,108,6.352941176470588,6
A32019,AM,46,3.2857142857142856,8
A32019,PM,28,4,6
A32022,AM,88,3.259259259259259,6
A32022,PM,8,2.6666666666666665,3
A32023,AM,18,1.2857142857142858,6
A32023,PM,3,1,3
A32025,AM,268,2,10
A32025,PM,53,1.8275862068965518,8
A32026,AM,16,2.2857142857142856,3
A32026,PM,33,1.9411764705882353,3
A32028,PM,1,1,1
A32030,AM,2,2,1
A32030,PM,18,4.5,4
A32031,PM,12,4,3
A32032,PM,1,1,1
A32033,AM,4,4,1
A32035,AM,1,1,1
A32035,PM,2,2,1
A32036,AM,12,6,2
A32038,AM,4,2,2
A32038,PM,7,2.3333333333333335,3
A32039,AM,1,1,1
A32040,AM,5,1,2
A32040,PM,10,1.25,4
A32041,AM,4,4,1
A32041,PM,3,1.5,2
A32042,PM,9,1.8,2
A32044,PM,3,1.5,1
A32045,AM,3,1.5,1
A32045,PM,7,1.75,2
A32052,PM,2,2,1
B32000,AM,2,1,1
B32000,PM,12,1.0909090909090908,4
B32002,AM,77,2.081081081081081,16
B32002,PM,55,1.4864864864864864,13
B32003,AM,23,1.5333333333333334,9
B32003,PM,146,2.0277777777777777,15
B32004,AM,270,3.033707865168539,16
B32004,PM,113,2.306122448979592,14
B32005,AM,154,2.40625,20
B32005,PM,193,2.382716049382716,16
B32006,AM,33,2.0625,10
B32006,PM,71,1.5777777777777777,14
B32007,AM,61,1.967741935483871,13
B32007,PM,106,2.25531914893617,15
B32008,AM,166,2.4057971014492754,18
B32008,PM,151,1.9113924050632911,18
B32010,AM,140,2.5925925925925926,15
B32010,PM,83,2.024390243902439,12
B32011,AM,5,1,4
B32011,PM,15,1.3636363636363635,4
B32012,AM,30,2.727272727272727,4
B32012,PM,36,2.1176470588235294,7
B32013,AM,17,2.125,7
B32013,PM,12,1.7142857142857142,5
B32014,AM,32,2.2857142857142856,8
B32014,PM,54,2,11
B32015,AM,49,1.2564102564102564,11
B32015,PM,112,1.4545454545454546,15
B32016,AM,19,1.1875,4
B32016,PM,13,1,4
B32017,PM,15,5,2
B32018,AM,12,3,2
B32018,PM,40,6.666666666666667,2
B32020,AM,10,2,3
B32020,PM,43,1.8695652173913044,6
B32021,AM,10,3.3333333333333335,3
B32021,PM,26,5.2,3
B32022,AM,4,4,1
B32023,AM,4,2,2
B32023,PM,2,2,1
B32026,AM,11,1.8333333333333333,5
B32026,PM,14,4.666666666666667,3
B32027,AM,4,4,1
B32027,PM,12,4,3
B32028,PM,2,2,1
B32029,AM,1,1,1
B32031,AM,2,2,1
B32031,PM,1,1,1
B32032,AM,27,1.8,6
B32032,PM,10,1.6666666666666667,4
B32033,AM,2,2,1
B32033,PM,7,1.75,3
B32034,AM,25,1.7857142857142858,3
B32034,PM,24,1.3333333333333333,4
B32035,AM,7,2.3333333333333335,2
B32035,PM,2,2,1
B32036,AM,34,1.7894736842105263,12
B32036,PM,28,1.5555555555555556,8
B32037,AM,18,1.5,4
B32037,PM,15,1.6666666666666667,3
B32055,AM,5,1.6666666666666667,3
B32055,PM,6,1.5,2
B32056,AM,22,5.5,3
B32056,PM,44,4.888888888888889,3
B32058,AM,36,3.272727272727273,1
B32058,PM,14,4.666666666666667,2
B32059,AM,2,2,1
B32060,AM,1,1,1
B32060,PM,3,1.5,1
C32000,AM,151,3.4318181818181817,11
C32000,PM,68,3.238095238095238,11
C32001,AM,93,2.5833333333333335,17
C32001,PM,55,2.8947368421052633,10
C32002,AM,5,1.25,2
C32002,PM,30,1.3636363636363635,9
C32003,AM,318,2.5853658536585367,17
C32003,PM,171,2.1645569620253164,17
C32004,AM,106,3.6551724137931036,7
C32004,PM,44,6.285714285714286,3
C32005,AM,95,3.8,10
C32005,PM,33,2.5384615384615383,8
C32006,AM,263,4.109375,14
C32006,PM,160,3.2,12
C32007,AM,144,2.88,18
C32007,PM,147,2.2615384615384615,15
C32009,AM,52,2.3636363636363638,12
C32009,PM,16,2.6666666666666665,5
