Year,Rush_Period,Total_Rides,Avg_Rides_Per_Day,Median_Rides_Per_Day,Min_Rides_Per_Day,Max_Rides_Per_Day,Total_Days,Total_Stations
2011,AM,493,1.2805194805194806,1,1,6,5,41
2011,PM,863,1.4032520325203253,1,1,7,5,44
2012,AM,625,1.4076576576576576,1,1,10,5,31
2012,PM,828,1.4892086330935252,1,1,10,5,38
2013,AM,509,1.1674311926605505,1,1,4,2,67
2013,PM,679,1.2039007092198581,1,1,5,2,76
2014,AM,622,1.2958333333333334,1,1,5,10,25
2014,PM,650,1.25,1,1,5,10,26
2015,AM,666,1.3373493975903614,1,1,4,8,32
2015,PM,675,1.344621513944223,1,1,6,7,32
2016,AM,580,1.2917594654788418,1,1,5,6,36
2016,PM,732,1.3284936479128857,1,1,8,6,38
2017,AM,1937,3.055205047318612,2,1,20,3,119
2017,PM,1116,3.0491803278688523,2,1,24,2,109
2018,AM,1603,2.716949152542373,2,1,16,3,127
2018,PM,1165,2.841463414634146,2,1,12,3,109
2019,AM,1867,2.9729299363057327,2,1,20,2,137
2019,PM,1064,2.860215053763441,2,1,20,1,142
2020,AM,1805,3.080204778156997,2,1,20,2,144
2020,PM,1219,2.9444444444444446,2,1,20,1,168
2021,AM,469,2.8773006134969323,2,1,12,2,104
2021,PM,2326,2.7789725209080047,2,1,63,2,219
