Year,Month,Month_Name,Rush_Period,Total_Rides,Avg_Rides_Per_Day,Total_Days
2011,7,July,AM,86,1.323076923076923,2
2011,7,July,PM,356,1.3587786259541985,2
2011,8,August,AM,407,1.271875,3
2011,8,August,PM,507,1.4362606232294617,3
2012,3,March,AM,625,1.4076576576576576,5
2012,3,March,PM,828,1.4892086330935252,5
2013,4,April,AM,509,1.1674311926605505,2
2013,4,April,PM,679,1.2039007092198581,2
2014,1,January,AM,622,1.2958333333333334,10
2014,1,January,PM,650,1.25,10
2015,1,January,AM,666,1.3373493975903614,8
2015,1,January,PM,675,1.344621513944223,7
2016,1,January,AM,580,1.2917594654788418,6
2016,1,January,PM,732,1.3284936479128857,6
2017,1,January,AM,1937,3.055205047318612,3
2017,1,January,PM,1116,3.0491803278688523,2
2018,1,January,AM,1603,2.716949152542373,3
2018,1,January,PM,1165,2.841463414634146,3
2019,1,January,AM,1867,2.9729299363057327,2
2019,1,January,PM,1064,2.860215053763441,1
2020,1,January,AM,1805,3.080204778156997,2
2020,1,January,PM,1219,2.9444444444444446,1
2021,1,January,AM,469,2.8773006134969323,2
2021,1,January,PM,2326,2.7789725209080047,2
